Companies
Amara Raja Batteries Ltd.
Ashok Leyland Ltd.
Bajaj Auto Ltd.
Balkrishna Industries Ltd.
Bharat Forge Ltd.
Bosch Ltd.
Eicher Motors Ltd.
Exide Industries Ltd.
Hero MotoCorp Ltd.
MRF Ltd.
Mahindra & Mahindra Ltd.
Maruti Suzuki India Ltd.
Motherson Sumi Systems Ltd.
TVS Motor Company Ltd.
Tata Motors Ltd.
Axis Bank Ltd.
Bandhan Bank Ltd.
Bank of Baroda
Federal Bank Ltd.
