Attributes,Values
Type,Public
Traded as,BSE: 502355  NSE: BALKRISIND
Industry,Auto and Truck parts
Founded,1987[1]
Headquarters,"Mumbai, India"
Area served,Worldwide
Products,Tires
Revenue, ₹37.8 billion (US$530 million) (2016–17)[2]
Net income, ₹10.59 billion (US$150 million) (2016–17)[3]
Number of employees,6000
Website,www.bkt-tires.com
